epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1906.51,1.28622,1.19105,0.95928,0.73262,0.8129,0.77242,0.64679,1.02435,1.28966,0.92536,0.0005941,0.0005941,0.0005941
43,1943.31,1.16047,1.04101,0.91869,0.78426,0.82168,0.80225,0.65602,1.01259,1.24029,0.93811,0.0005842,0.0005842,0.0005842
44,1981.92,1.1998,1.08449,0.91967,0.79457,0.80668,0.79836,0.6422,1.02968,1.24397,0.942,0.0005743,0.0005743,0.0005743
45,2019.82,1.20109,1.01363,0.91621,0.79299,0.80226,0.80585,0.6449,1.02266,1.21742,0.93721,0.0005644,0.0005644,0.0005644
46,2057.31,1.17633,1.02822,0.93793,0.81198,0.81882,0.81008,0.63523,1.01956,1.12472,0.93968,0.0005545,0.0005545,0.0005545
47,2096.53,1.10397,1.01709,0.93422,0.80388,0.82072,0.78843,0.61324,1.02285,1.09021,0.92509,0.0005446,0.0005446,0.0005446
48,2133.65,1.13602,1.0455,0.92361,0.78632,0.83231,0.80189,0.62113,1.02212,1.08717,0.93665,0.0005347,0.0005347,0.0005347
49,2171.16,1.18969,1.0429,0.93209,0.76053,0.82979,0.79181,0.62085,1.03241,1.1123,0.9439,0.0005248,0.0005248,0.0005248
50,2207.57,1.17248,1.05499,0.94544,0.80759,0.82627,0.79924,0.63389,1.02742,1.13315,0.93983,0.0005149,0.0005149,0.0005149
51,2246.77,1.23331,1.04862,0.93273,0.81132,0.79363,0.78542,0.63113,1.02078,1.08879,0.92318,0.000505,0.000505,0.000505
52,2285.86,1.13567,0.99521,0.91906,0.80669,0.81212,0.79115,0.63791,1.00165,1.06659,0.91978,0.0004951,0.0004951,0.0004951
53,2326.9,1.27004,0.99853,0.91316,0.78839,0.80566,0.79132,0.63767,1.00053,1.05984,0.92713,0.0004852,0.0004852,0.0004852
54,2366.48,1.25742,1.01986,0.91538,0.80566,0.8217,0.78519,0.63343,0.96779,1.01814,0.91413,0.0004753,0.0004753,0.0004753
55,2408.83,1.1226,0.96204,0.90567,0.79308,0.84863,0.81987,0.65262,0.95635,0.9908,0.91574,0.0004654,0.0004654,0.0004654
56,2448.83,1.0817,0.95456,0.89882,0.75641,0.84225,0.80141,0.64603,0.95638,1.00529,0.91921,0.0004555,0.0004555,0.0004555
57,2493.88,1.14528,0.9913,0.92735,0.83617,0.79771,0.78236,0.64346,0.92136,1.00963,0.91414,0.0004456,0.0004456,0.0004456
58,2541.46,1.1386,1.01464,0.94097,0.81679,0.81858,0.77458,0.63635,0.92443,0.9852,0.91774,0.0004357,0.0004357,0.0004357
59,2591.16,1.06229,0.96619,0.9117,0.82539,0.82218,0.80356,0.65365,0.93206,0.95622,0.92474,0.0004258,0.0004258,0.0004258
60,2645.52,1.15711,0.97042,0.91745,0.84397,0.7924,0.80112,0.64706,0.95198,0.93774,0.94114,0.0004159,0.0004159,0.0004159
61,2698.17,1.08334,0.97534,0.91378,0.83279,0.80109,0.81065,0.62633,0.97116,0.96308,0.95339,0.000406,0.000406,0.000406
62,2743.16,1.10014,0.93897,0.91018,0.79303,0.81719,0.79899,0.61511,1.01157,0.97331,0.95605,0.0003961,0.0003961,0.0003961
63,2787.07,1.1183,0.98132,0.90999,0.77014,0.83342,0.79483,0.60998,0.99327,0.98916,0.93646,0.0003862,0.0003862,0.0003862
64,2831.81,1.08663,0.94801,0.90672,0.76318,0.84517,0.80781,0.62836,0.98001,0.96774,0.91733,0.0003763,0.0003763,0.0003763
65,2877.73,1.08193,0.99478,0.94821,0.77615,0.83113,0.81244,0.64549,0.96061,0.94917,0.91334,0.0003664,0.0003664,0.0003664
66,2923.2,1.05869,0.8925,0.89828,0.8414,0.80842,0.81425,0.65484,0.93265,0.91767,0.91036,0.0003565,0.0003565,0.0003565
67,2965.45,1.23011,1.02104,0.93601,0.84334,0.84009,0.81887,0.6421,0.95714,0.94087,0.91463,0.0003466,0.0003466,0.0003466
68,3007.69,1.02834,0.89435,0.88164,0.80545,0.83769,0.81461,0.64697,0.93829,0.93312,0.9162,0.0003367,0.0003367,0.0003367
69,3051.27,1.07949,0.95754,0.89811,0.79062,0.85396,0.81999,0.64834,0.93573,0.94124,0.91245,0.0003268,0.0003268,0.0003268
70,3094.36,0.97834,0.88196,0.90089,0.82639,0.82078,0.81539,0.64151,0.94048,0.9411,0.91139,0.0003169,0.0003169,0.0003169
71,3137.38,1.00916,0.85028,0.87855,0.83395,0.83669,0.81181,0.6426,0.93678,0.9477,0.91183,0.000307,0.000307,0.000307
72,3180.53,1.05722,0.95002,0.89417,0.85967,0.82971,0.80277,0.62654,0.93529,0.94438,0.91884,0.0002971,0.0002971,0.0002971
73,3222.69,1.0316,0.89053,0.90424,0.83238,0.83156,0.80181,0.63147,0.93136,0.94326,0.91926,0.0002872,0.0002872,0.0002872
74,3265.21,1.02085,0.91996,0.90058,0.82115,0.83998,0.81691,0.64928,0.9291,0.94628,0.91196,0.0002773,0.0002773,0.0002773
75,3308.7,1.05328,0.91387,0.91566,0.84515,0.8286,0.81369,0.64433,0.94743,0.91979,0.90575,0.0002674,0.0002674,0.0002674
76,3350.27,1.12018,0.94913,0.90471,0.80999,0.83156,0.82609,0.65481,0.93503,0.90371,0.90472,0.0002575,0.0002575,0.0002575
77,3394.91,1.10187,0.94847,0.91471,0.78643,0.84825,0.82517,0.66111,0.92504,0.8938,0.9069,0.0002476,0.0002476,0.0002476
78,3436.99,1.12259,0.93005,0.89062,0.84441,0.81377,0.82479,0.66561,0.90628,0.87865,0.90688,0.0002377,0.0002377,0.0002377
79,3482.37,0.97671,0.86693,0.8721,0.81375,0.81524,0.81433,0.66409,0.89962,0.87473,0.89704,0.0002278,0.0002278,0.0002278
80,3525.82,1.06094,0.87754,0.88335,0.83069,0.85948,0.83686,0.66431,0.9055,0.8847,0.89484,0.0002179,0.0002179,0.0002179
81,3574.99,1.00909,0.84719,0.89481,0.82297,0.85252,0.84435,0.66601,0.90874,0.89032,0.89425,0.000208,0.000208,0.000208
